Forest,Tree Number,Focal Tree,Rainfall,Podocarpus latifolius,Olea capensis subsp. Macrocarpa,Pterocelastrus rostratus,Pterpcelstrus tricuspidatus,Olinia ventosa,Cunonia capensis,Cassine schinoides,Cassine peragua,Afrocarpus falcatus,Afrocanthium mundianum,Rapanea melanophloeos,Ocotea bullata,Scolopia zeyheri,Sequoiadendron gigantum,Burchellia bubalina,Canthium inerme,Rothmannia capensis,Maytenus acuminata,Scutia myrtina,Rhus tomentosa,Apodytes dimidiata,Carissa bispinosa,Dovyalis rhamnoides,Streptocarpus sp.,Rhoicissus tomentosa,Fern sp.,Fern spp. (more than one fern sp on site),Trichocladus crinitus,Gonioma kamassi,Elaeodendron croceum,Psydrax obovata subsp. obovata,Ochna arborea,Curtisia dentata,Australian Blackwood,Kiggelaria africana,Nuxia floribunda,Halleria lucida,Climbing saffron,Diospyros whyteana,Pittosporum viridiflorum,Mystroxylon aethiopicum,Clutia pulchella,Cyathea capensis,Trimeria grandifolia,Myrcinia africana,Rhamnus prinoides,Robsondendron eucleiforme,Virgilia divaricata,Brachylaena glabra,Maytenus peduncularis
GrootVadersBos,GVB01,Olea capensis subsp. macrocarpa,467,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrootVadersBos,GVB02,Olea capensis subsp. macrocarpa,405,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrootVadersBos,GVB03,Olinia ventosa,310,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrootVadersBos,GVB04,Cunonia capensis,259,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrootVadersBos,GVB05,Cunonia capensis,264,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrootVadersBos,GVB06,Cunonia capensis,269,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrootVadersBos,GVB07,Podocarpus latifolius,364,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GrootVadersBos,GVB08,Olea capensis subsp. macrocarpa,248,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GrootVadersBos,GVB09,Rapanea melanophloeos,304,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrootVadersBos,GVB10,Rapanea melanophloeos,360,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrootVadersBos,GVB11,Podocarpus latifolius,293,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
