Unique Sample Number,Days after inoculation,Date,Licor,Trial,Treatment,Species,Plant Number,Isolate Number,Unique Sample Number,Obs,Photosynthesis,Conductance,Ci
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,5,5.970722003,0.030279169,79.53741493
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,6,6.248620409,0.031145337,74.01713127
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,7,6.496226701,0.031287374,62.75032784
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,8,6.866771979,0.032163546,53.3848627
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,9,6.374064896,0.031986356,75.98448456
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,10,6.786697277,0.032409755,59.75497231
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,1,3.142259359,0.003105199,-1209.976059
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,2,2.443323407,0.015877088,151.9370122
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,3,2.128772694,0.016849743,195.6219841
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,4,3.436691515,0.022673233,155.5478895
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,5,1.964754419,0.030205025,293.6286281
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,6,1.098951355,0.035620508,347.8351638
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,7,2.130875407,0.039890582,311.9880424
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,8,0.960347883,0.040949112,359.3765729
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,9,1.063676427,0.039229661,353.5207952
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,10,0.991384857,0.039664458,356.8412182
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,11,0.862682179,0.039375255,361.67817
1DroughtExotic Pathogen 10,9,6/8/18,6400,1,Drought,Exotic Pathogen ,10,5,7,1,5.65991295,0.048547777,207.8161431
1DroughtExotic Pathogen 10,9,6/8/18,6400,1,Drought,Exotic Pathogen ,10,5,7,2,7.824376674,0.064691909,199.1984023
1DroughtExotic Pathogen 10,9,6/8/18,6400,1,Drought,Exotic Pathogen ,10,5,7,3,7.76361466,0.065839751,203.8696009
1DroughtExotic Pathogen 10,9,6/8/18,6400,1,Drought,Exotic Pathogen ,10,5,7,4,8.177611441,0.067121285,197.6371361
